6000,500,0.420654,1.58966,10,81,785,1141,2943,0,0,0,78,602
6000,500,0.433868,1.61581,7,69,815,1122,2938,0,0,0,69,581
6000,500,0.435148,1.73903,7,76,843,1110,2814,0,0,0,70,577
6000,500,0.422683,1.68732,8,83,789,1085,2943,0,0,0,75,582
6000,500,0.435886,1.66768,5,81,811,1077,2876,0,0,0,89,596
6000,500,0.409691,1.66128,11,85,739,1106,2863,0,0,0,66,557
6000,500,0.418757,1.54591,4,69,788,1129,2914,0,0,0,67,583
6000,500,0.385177,1.57244,9,81,768,1084,2817,0,0,0,63,567
6000,500,0.418783,1.66408,8,69,773,1080,2817,0,0,0,62,557
6000,500,0.433312,1.8358,9,80,856,1083,2977,0,0,0,69,593
