1500,50,0.741904,0.789776,1,10,132,163,332,0,1,33,87,165
1500,50,0.686182,0.442796,0,7,118,146,341,0,0,32,79,190
1500,50,0.693544,0.554922,1,6,109,156,395,0,0,36,80,206
1500,50,0.621809,0.520937,1,5,100,162,350,0,0,22,92,190
1500,50,0.687845,0.459886,0,6,90,182,371,0,0,31,105,200
1500,50,0.670275,0.487023,0,4,95,193,367,0,0,20,103,215
1500,50,0.745293,0.760906,1,5,114,158,352,0,0,36,73,205
1500,50,0.657009,0.551797,0,10,103,164,340,0,0,24,91,202
1500,50,0.697334,0.534864,3,8,107,185,365,0,0,37,88,201
1500,50,0.710013,0.462929,1,6,112,160,364,0,0,37,83,200
